ticker,description
0476.HK,Ev Dynamics
0831.HK,Cr Asia
9900.HK,Gain Plus Hldgs
6698.HK,Star Cm
0604.HK,Shenzhen Invest
0119.HK,Poly Property
1969.HK,China Chunlai
2405.HK,Powerwin Tech
1578.HK,Bank Of Tianjin
2660.HK,Zengame
2566.HK,Jiuyuan Gene
6877.HK,Clsa Premium
2337.HK,United Strength
0830.HK,Csc Development
9930.HK,Horizon Cd
1854.HK,China Wantian
2531.HK,Carlink Tech
1745.HK,Lvji Tech
2516.HK,Far Intl
0707.HK,Atv Holdings
2246.HK,Gogox-New
2390.HK,Zhihu-W
0232.HK,Con Aero Tech
3882.HK,Skylight Hldg
9933.HK,Ghw Intl
2230.HK,Medialink Group
9986.HK,Dashan Edu
0732.HK,Truly Int'L
1911.HK,Cr Holdings
0086.HK,Sun Hung Kai Co
0039.HK,Ch Beidahuang
9936.HK,Ximei Resources
1025.HK,Knt Holdings
1878.HK,Southgobi
2025.HK,Ruifeng Power
7855.HK,Techstaracq-Z
1317.HK,Mapleleaf Edu
2393.HK,Yestar Health
0206.HK,Cm-Energy
0218.HK,Swhyhk
0108.HK,Gr Life Style
9616.HK,Neutech Group
1450.HK,Be Friends Hldg
0818.HK,Hi Sun Tech
2265.HK,Hc Env Tech
0399.HK,Innovative Phar
0581.HK,China Oriental
1142.HK,E&P Global
1539.HK,Unity Gp Hldgs
1286.HK,Impro Precision
0640.HK,Infinity Dev
2699.HK,Xinming China
1588.HK,Chanjet
2250.HK,B.Duck Semk
3336.HK,Ju Teng Intl
1920.HK,China Wacan
1421.HK,Prosp Gp Intl
0321.HK,Texwinca Hold
0816.HK,Jinmao Services
1050.HK,Karrie Int'L
2438.HK,Mobvoi
9869.HK,Helens
1346.HK,Lever Style
3660.HK,Qfin-S
1502.HK,Fin Street Ppt
3818.HK,China Dongxiang
1425.HK,Justin Allen H
1982.HK,Nameson Hldgs
2503.HK,Zhongshenjianye
1283.HK,Accel Group
0332.HK,Yuanheng Gas
0145.HK,Cciam Future En
0536.HK,Tradelink
3600.HK,Modern Dental
0098.HK,Xingfa Alum
0493.HK,Gome Retail
6820.HK,Friendtimes
0408.HK,Yip'S Chemical
2177.HK,Unq Holdings
0950.HK,Lee'S Pharm
1728.HK,Zhengtongauto
3838.HK,China Starch
1116.HK,Mayer Holdings
6929.HK,Orbusneich
2279.HK,Yonghe Medical
0078.HK,Regal Int'L
1200.HK,Midland Holding
2515.HK,Tjcd
6978.HK,Immunotech-B
0554.HK,Hans Gp Hldgs
2030.HK,Cabbeen
1718.HK,Wan Kei Group
0737.HK,Bay Area Dev
1870.HK,Acme Intl Hldgs
3383.HK,Agile Group
0397.HK,Minerva Group
3839.HK,Ct Enterprise
2076.HK,Boss Zhipin-W
2878.HK,Solomon Systech
0538.HK,Ajisen (China)
0381.HK,Aom Int'L
0986.HK,Dufu Liquor Gp
2571.HK,Saimo
2625.HK,Jiangsu Horizon
0355.HK,Century C Int'L
1397.HK,Baguio Green
2459.HK,Sanergy Group
0899.HK,Zhong Jia Gx
2166.HK,Smart-Core
0672.HK,Zhongan Group
6162.HK,Tr Interiors
0419.HK,Hony Media
0103.HK,Shougang Cent
2219.HK,Chaoju Eye Care
1069.HK,Cn Health Tech
9889.HK,Drcb
0410.HK,Soho China
1848.HK,Calc
1812.HK,Chenming Paper
2881.HK,Wuhan Youji
3893.HK,Crosstec
1122.HK,Qingling Motors
2185.HK,Bioheart-B
1520.HK,Virtual Mind
0178.HK,Sa Sa Int'L
0716.HK,Singamas Cont
2156.HK,C&D Property
1631.HK,Ref Holdings
0034.HK,Kowloon Dev
2012.HK,Sunshine Oil
1250.HK,Sdhs New Energy
1593.HK,Chen Lin Edu
1725.HK,Uspace Tech
6989.HK,Excellence Cm
2129.HK,Legion Conso
2110.HK,Tian Cheng Hldg
1830.HK,Perfect Medical
1489.HK,Gc Construction
2399.HK,Cn Anchu Energy
6811.HK,Tai Hing Group
1205.HK,Citic Resources
0210.HK,Daphne Int'L
0588.HK,Beijing N Star
0128.HK,Enm Holdings
1616.HK,A Metaverse
0563.HK,Sh Ind Urban
0053.HK,Guoco Group
3813.HK,Pou Sheng Int'L
1981.HK,Cathay Gp Hldgs
0686.HK,Bj Energy I-New
0236.HK,San Miguel Hk
1079.HK,Pine Tech
2003.HK,Vcredit
1846.HK,Euroeyes
1011.HK,Nt Pharma
2260.HK,Vanov Holdings
1259.HK,Prosper Future
1301.HK,D&G Tech
0124.HK,Gd Land
0035.HK,Fe Consort Intl
2772.HK,Zhongliang Hldg
0533.HK,Goldlion Hold
2187.HK,Zhixin Gp Hldg
3883.HK,China Aoyuan
2407.HK,Gaush Meditech
0193.HK,Capital Estate
0169.HK,Wanda Hotel Dev
6959.HK,Changjiu Hldgs
1568.HK,Sundart Hldgs
1713.HK,Sichuan En Inv
1957.HK,Mbv Intl
2519.HK,Augroup
1731.HK,Prosperous Ind
0626.HK,Public Fin Hold
3681.HK,Sinomab Bio-B
1640.HK,Qian Xun Tech
0331.HK,Fse Lifestyle
9913.HK,Chi Kan Hldgs
0695.HK,Dongwu Cement
6610.HK,Flowing Cloud
6657.HK,Baiwang Co
3662.HK,Starjoy W&T
0088.HK,Tai Cheung Hold
1756.HK,Chi Sci&Edu Ind
0301.HK,Sanvo Chemicals
1184.HK,S.A.S. Dragon
1003.HK,Huanxi Media
9955.HK,Cloudr
0822.HK,Ka Shui Int'L
1726.HK,Hke Holdings
2559.HK,Dida Inc
1599.HK,Ucd
1228.HK,Canbridge-B
0727.HK,Crownicorp
3833.HK,Xinxin Mining
0305.HK,Wuling Motors
1009.HK,Int'L Ent
0031.HK,China Aerospace
1130.HK,China Env Res
1110.HK,Kingworld
2197.HK,Clover Bio-B
0326.HK,China Star Ent
0382.HK,Edvantage Group
0104.HK,Asia Comm Hold
2416.HK,Edianyun
0587.HK,Conch Enviro
2198.HK,China Sanjiang
3303.HK,Jutal Oil Ser
0907.HK,Eleganceoptical
1612.HK,Vincent Med
0199.HK,Itc Properties
0805.HK,New Gonow Rv
1668.HK,Chinasouthcity
6966.HK,C Wan Tong Yuan
1203.HK,Guangnan (Hold)
6829.HK,Dragon Rise Gp
0337.HK,Greenland Hk
0661.HK,Cdayenonfer
9960.HK,Kindstar Global
6668.HK,E-Star Cm
